Company Name,Website URL,Description,Corporate Office Address
Peyto Exploration & Development Corp.,https://www.peyto.com/,Peyto Exploration & Development Corp. is an explorer and producer of unconventional natural gas in Alberta's Deep Basin. The company has an industry-leading cost structure with a focus on profitability and operational efficiency. Peyto emphasizes natural gas development and production with strategic infrastructure investments.,"Suite 300, 600 - 3rd Avenue SW, Calgary, Alberta T2P 0G5, Canada"
,,,
Midstream Companies,,,
Company Name,Website URL,Description,Corporate Office Address
AltaGas Ltd.,https://www.altagas.ca/,"AltaGas Ltd. is a leading North American infrastructure company that connects customers and markets to affordable and reliable sources of energy. The company operates natural gas distribution utilities, gas gathering and processing facilities, and exports Canadian liquid petroleum gas (LPG) to overseas markets. AltaGas is headquartered in Calgary with operations across Canada and the United States.","707 - 5th Street SW, Suite 1300, Calgary, Alberta T2P 1V8, Canada"
Gibson Energy Inc.,https://www.gibsonenergy.com/,"Gibson Energy Inc. is a leading North American liquids infrastructure company with principal businesses consisting of storage, optimization, processing, and gathering of liquids and refined products. The company operates 25.2 million barrels of storage capacity across Western Canada and the United States. Gibson connects customers to markets, employees to rewarding careers, and investors to long-term value creation.","1700, 440 - 2nd Avenue SW, Calgary, Alberta T2P 5E9, Canada"
Inter Pipeline Ltd.,https://interpipeline.com/,"Inter Pipeline Ltd. is a world-scale energy infrastructure company engaged in the transportation, processing and storage of energy products across Western Canada and Europe. The company operates oil sands transportation pipelines, conventional oil pipelines, NGL processing facilities, and Canada's only polypropylene production facility (Heartland Petrochemical Complex). Inter Pipeline focuses on delivering safe, reliable operations and sustainable value creation.","Suite 3200, 215 - 2nd Street SW, Calgary, Alberta T2P 1M4, Canada"
Keyera Corp.,https://www.keyera.com/,"Keyera Corp. operates an integrated Canadian-based midstream business with extensive interconnected assets and depth of expertise in delivering responsible energy solutions. The company provides gathering and processing services, NGL marketing, storage and transportation infrastructure. Keyera's mission is connecting energy for life through safe, reliable operations and strategic investments.","The Ampersand, West Tower 200, 144 - 4th Avenue SW, Calgary, Alberta T2P 3N4, Canada"
Pembina Pipeline Corporation,https://www.pembina.com/,"Pembina Pipeline Corporation is a leading energy transportation and midstream service provider that has been serving North America's energy industry for 70 years. The company owns and operates pipelines that transport hydrocarbon liquids and natural gas, as well as gas gathering and processing facilities and an oil and NGL infrastructure and logistics business. Pembina provides flexible and innovative solutions to customers across Western Canada and the United States.","4000, 585 - 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
South Bow Corporation,https://www.southbow.com/,"South Bow Corporation is a newly formed energy infrastructure company following the October 2024 spinoff from TC Energy Corporation's Liquids Pipelines business. The company operates critical crude oil pipeline systems across North America including the Keystone Pipeline System and liquids marketing business. South Bow is focused on safe, reliable operations and creating value for stakeholders.","450 - 1st Street SW, Calgary, Alberta T2P 5H1, Canada"
TC Energy Corporation,https://www.tcenergy.com/,"TC Energy Corporation is one of North America's leading energy infrastructure companies with operations in natural gas and power industries. The company operates an extensive network of natural gas pipelines, power generation facilities, and energy storage assets. TC Energy connects energy to communities, industries and the world while maintaining a strong commitment to safety, operational excellence and environmental stewardship.","450 - 1st Street SW, Calgary, Alberta T2P 5H1, Canada"
Tidewater Midstream and Infrastructure Ltd.,https://www.tidewatermidstream.com/,"Tidewater Midstream and Infrastructure Ltd. is a diversified midstream and infrastructure company focused on the upstream oil and gas industry. The company provides natural gas processing, fractionation, storage and transportation services in Western Canada. Tidewater operates strategically positioned facilities that support the development of energy resources across Alberta and British Columbia.","Suite 2550, 525 - 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
,,,
,,,
Service Companies,,,
,,,
Company Name,Website URL,Description,Corporate Office Address
Akita Drilling Ltd.,https://www.akita-drilling.com/,"Akita Drilling Ltd. is a leading intermediate North American land drilling contractor with a fleet of 32 high-spec drilling rigs. The company operates in major resource plays across Canada and the United States. Akita provides advanced drilling services with a focus on safety, operational excellence and technological innovation.","1000, 333 - 7th Avenue SW, Calgary, Alberta T2P 2Z1, Canada"
Calfrac Well Services Ltd.,https://calfrac.com/,"Calfrac Well Services Ltd. is the largest Canadian-headquartered pressure pumping company providing hydraulic fracturing, coiled tubing, cementing and other well stimulation services. The company deploys over 1.2 million horsepower across its operating areas in Canada, the United States and Latin America. Calfrac is committed to safety, quality and service excellence.","Suite 500, 407 - 8th Avenue SW, Calgary, Alberta T2P 1E5, Canada"
CES Energy Solutions Corp.,https://www.cesenergysolutions.com/,CES Energy Solutions Corp. is a leading provider of technically advanced consumable chemical solutions throughout the life-cycle of the oilfield. The company services the North American oil and natural gas industry with a vertically integrated business model. CES has evolved into an industry leader through organic growth and strategic acquisitions.,"Suite 1400, 332 - 6th Avenue SW, Calgary, Alberta T2P 0B2, Canada"
Enerflex Ltd.,https://www.enerflex.com/,"Enerflex Ltd. provides sustainable energy infrastructure solutions globally, from gas processing to electric power generation. The company offers flexible and scalable investments including retrofits, replacement units, and Build-Own-Operate-Maintain projects. Enerflex is committed to delivering efficient and reliable energy solutions worldwide.","904, 1331 Macleod Trail SE, Calgary, Alberta T2G 0K3, Canada"
Ensign Energy Services Inc.,https://www.ensignenergy.com/,"Ensign Energy Services Inc. is a global leader in oilfield services, providing drilling and well servicing capabilities. The company is headquartered in Calgary with operations in Canada, the United States and Australia. Ensign operates one of the world's largest and most technologically advanced oilfield services fleets.","1000, 400 - 5th Avenue SW, Calgary, Alberta T2P 0L6, Canada"
Precision Drilling Corporation,https://www.precisiondrilling.com/,"Precision Drilling Corporation is the largest drilling rig contractor in Canada, providing onshore oil and gas drilling technology and services. The company operates a fleet of high-performance drilling rigs across North America. Precision Drilling is committed to innovation, safety and operational excellence in drilling services.","Suite 800, 525 - 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
Pason Systems Inc.,https://www.pason.com/,"Pason Systems Inc. is a leading provider of specialized data management systems and services to the drilling industry. The company delivers real-time data acquisition, wellsite reporting, remote communications and web-based information management. Pason serves the oil and gas industry globally with innovative technology solutions.","6130 Third Street SE, Calgary, Alberta T2H 1K4, Canada"
PHX Energy Services Corp.,https://www.phxtech.com/,"PHX Energy Services Corp. provides horizontal and directional drilling technology and services to oil and natural gas producing companies. The company operates in Canada, the United States and internationally with a focus on performance drilling technologies. PHX Energy emphasizes innovation and precision in directional drilling services.","Suite 1600, 250 - 2nd Street SW, Calgary, Alberta T2P 0C1, Canada"
Trican Well Service Ltd.,https://www.tricanwellservice.com/,"Trican Well Service Ltd. is a leading provider of pressure pumping services in Canada, including hydraulic fracturing and cementing. The company operates across Western Canada with a focus on providing safe, efficient and cost-effective well completion services. Trican is committed to operational excellence and environmental stewardship.","Suite 2900, 645 - 7th Avenue SW, Calgary, Alberta T2P 4G8, Canada"
STEP Energy Services Ltd.,https://www.stepenergyservices.com/,"STEP Energy Services Ltd. is a leading Canadian provider of integrated coiled tubing and fracturing services. The company offers comprehensive well completion and production enhancement solutions across Western Canada and the United States. STEP emphasizes safety, technology and operational efficiency.","Suite 2000, 215 - 2nd Street SW, Calgary, Alberta T2P 1M4, Canada"
Badger Infrastructure Solutions Ltd.,https://www.badgerinc.com/,"Badger Infrastructure Solutions Ltd. is the largest provider of non-destructive excavating and related services in North America. The company specializes in hydrovac (hydro-excavation) services that safely expose underground infrastructure without damage. Badger has been an industry leader since 1992, operating across Canada and the United States with a focus on safety and innovation.","Suite 1000, 635 - 8th Avenue SW, Calgary, Alberta T2P 3M3, Canada"
Black Diamond Group Limited,https://www.blackdiamondgroup.com/,"Black Diamond Group Limited is a specialty rentals and industrial services company with two operating business units - Modular Space Solutions and Workforce Solutions. The company provides modular buildings, remote and temporary workforce housing, and a digital marketplace for B2B crew travel management. Black Diamond operates in Canada, the United States and Australia.","1000, 440 - 2nd Avenue SW, Calgary, Alberta T2P 5E9, Canada"
Dexterra Group Inc.,https://dexterra.com/,"Dexterra Group Inc. is a fast-growing, publicly listed company providing facilities management and operations, remote hospitality, access solutions, and forestry services. The company has been serving Canada for over 70 years with an outstanding record of supporting infrastructure and built assets. Dexterra has a far-reaching presence across North America.","Suite 320, 240 - 4th Avenue SW, Calgary, Alberta T2P 4H4, Canada"
Total Energy Services Inc.,https://www.totalenergy.ca/,"Total Energy Services Inc. is a growth-oriented, diversified energy services supplier to the Canadian and international marketplace. The company operates through multiple business units including contract drilling, well servicing, oilfield rentals, and compression services. Total Energy was founded in 1996 and is based in Calgary, Alberta.","Suite 1000, 734 - 7th Avenue SW, Calgary, Alberta T2P 3P8, Canada"
High Arctic Energy Services Inc.,https://haes.ca/,"High Arctic Energy Services Inc. is a market leader in Canada providing specialized well completion services and rental equipment to the oil and gas industry. With over 30 years of experience, the company offers a wide range of equipment and services including nitrogen services and specialized rentals. High Arctic operates in Canada with regional offices supporting oil and gas operations.","Suite 2350, 330 - 5th Avenue SW, Calgary, Alberta T2P 0L4, Canada"
Mullen Group Ltd.,https://www.mullen-group.com/,"Mullen Group Ltd. is one of Canada's largest logistics companies providing a wide range of transportation, warehousing and distribution services throughout North America. The company's specialized and industrial services segment includes oilfield services through Mullen Oilfield Services LP. Mullen Group focuses on safety, compliance, and customer service excellence.","121A - 31st Avenue SE, Okotoks, Alberta T1S 2N3, Canada"
North American Construction Group Ltd.,https://www.nacg.ca/,"North American Construction Group Ltd. is a premier provider of heavy civil construction and mining services in Canada and the United States. The company provides services including site preparation, overburden removal, and heavy equipment operations to the oil sands, mining and infrastructure sectors. NACG is committed to safety, operational excellence and environmental stewardship.","27287 - 100th Avenue, Acheson, Alberta T7X 6H8, Canada"
McCoy Global Inc.,https://www.mccoyglobal.com/,"McCoy Global Inc. is a global leader in the design, manufacture and supply of premium drill pipe connection systems and services. The company provides torque and testing equipment, tubular management services, and connection technologies to the global energy industry. McCoy Global serves customers worldwide from its operations in Canada, the United States and internationally.","Suite 900, 333 - 96th Avenue NE, Calgary, Alberta T3K 0S3, Canada"
Mattr Corp.,https://mattr.com/,"Mattr Corp. (formerly Secure Energy Services Inc.) is a leading provider of environmentally responsible solutions for the energy industry. The company offers waste management, recycling, and processing services including drilling fluids, production chemicals, and completion chemicals. Mattr operates across North America with a focus on sustainability and innovation.","Suite 100, 3308 Hillview Drive SW, Calgary, Alberta T2T 6H7, Canada"
Foremost Industries Inc.,https://www.foremost.ca/,"Foremost Industries Inc. is a manufacturer and distributor of specialized mobile equipment for remote locations and challenging environments. The company designs and builds drilling rigs, camp equipment, and specialized vehicles for oil and gas, mining, and construction industries. Foremost has been serving customers globally for over 60 years from its base in Calgary.","2330 - 68th Avenue SE, Calgary, Alberta T2C 2R4, Canada"
Western Energy Services Corp.,https://www.wesc.ca/,"Western Energy Services Corp. is a land-based drilling and well servicing contractor operating in Canada and the United States. The company provides oilfield services including drilling, well servicing, and equipment rentals. Western Energy focuses on operational excellence, safety, and delivering value to customers in the energy sector.","Suite 1000, 215 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
ACT Energy Technologies Ltd.,https://www.actenergy.com/,"ACT Energy Technologies Ltd. specializes in advanced coiled tubing drilling and production enhancement technologies. The company provides innovative solutions for horizontal drilling, well intervention, and production optimization. ACT Energy serves the oil and gas industry with cutting-edge technology and expertise.","Suite 100, 2816 - 11th Street NE, Calgary, Alberta T2E 7S7, Canada"
Pulse Seismic Inc.,https://www.pulseseismic.com/,"Pulse Seismic Inc. is a market leader in the acquisition, marketing and licensing of seismic data to the western Canadian energy sector. The company maintains one of the largest seismic data libraries in Canada. Pulse provides essential subsurface imaging data to support exploration and development activities.","Suite 1100, 250 - 2nd Street SW, Calgary, Alberta T2P 0C1, Canada"
Questor Technology Inc.,https://www.questortech.com/,"Questor Technology Inc. is an environmental clean technology company specializing in solutions that eliminate methane and volatile organic compound emissions from industrial operations. The company's proprietary incinerator technology provides clean, efficient combustion for waste gas elimination. Questor serves the oil and gas industry globally with environmentally responsible solutions.","Suite 2030, 715 - 5th Avenue SW, Calgary, Alberta T2P 2X6, Canada"
SECURE Energy Services Inc.,https://www.secure-energy.com/,"SECURE Energy Services Inc. is a leading provider of specialized solutions for the safe and efficient management of fluids and solids generated throughout the lifecycle of oil and gas wells. The company offers waste processing, disposal, recycling, and related services. SECURE operates an integrated network of facilities across North America.","Suite 400, 6130 - 3rd Street SE, Calgary, Alberta T2H 1K4, Canada"
Source Energy Services Ltd.,https://www.sourceenergyservices.com/,"Source Energy Services Ltd. is a leading provider of multi-stage completions, wellsite make-up and frac sand transloading services to the western Canadian energy sector. The company provides essential logistics and completion support services. Source Energy focuses on operational efficiency, safety, and customer service.","Suite 2300, 525 - 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
Enterprise Group Inc.,https://www.enterprisegrp.ca/,"Enterprise Group Inc. is a diversified energy services company providing drilling and production services, including well servicing, swabbing, and equipment rentals. The company serves the oil and gas industry in Western Canada with a focus on operational excellence and safety. Enterprise Group maintains a modern fleet of equipment and experienced crews.","Suite 600, 1331 Macleod Trail SE, Calgary, Alberta T2G 0K3, Canada"
Cleantek Industries Inc.,https://www.cleantekgroup.com/,"Cleantek Industries Inc. specializes in industrial cleaning, waste management, and environmental services for the energy sector. The company provides facility decommissioning, decontamination, and remediation services. Cleantek operates across Western Canada with a commitment to environmental responsibility and safety.","9655 - 41st Avenue, Edmonton, Alberta T6E 6R7, Canada"
Angel Wing Metals Inc.,https://www.angelwingmetals.com/,"Angel Wing Metals Inc. is engaged in the acquisition and exploration of mineral properties with a focus on precious and base metals. While primarily a mineral exploration company, it operates within the broader natural resources sector in Canada. The company explores various properties across North America seeking to develop economic mineral deposits.","Suite 410, 325 Howe Street, Vancouver, BC V6C 1Z7, Canada"
Peak Discovery Capital Ltd.,https://www.peakdiscoverycapital.com/,Peak Discovery Capital Ltd. is an investment company focused on the resource sector including energy services and exploration companies. The company provides capital and strategic support to emerging and established companies in the energy and natural resources industries. Peak Discovery operates from its base in Calgary serving the Canadian resource sector.,"Suite 1020, 250 - 6th Avenue SW, Calgary, Alberta T2P 3H7, Canada"
Russel Metals Inc.,https://www.russelmetals.com/,"Russel Metals Inc. is one of the largest metals distribution and processing companies in North America. The company serves the oil and gas industry with steel products including pipe, tubulars, and structural steel. Russel Metals operates an extensive network of service centers and processing facilities across North America supporting the energy sector.","6600 Financial Drive, Suite 100, Mississauga, Ontario L5N 7J6, Canada"
